# patches_cauda_pb.txt -- o lote de correcoes de cauda de quadros P/B (plano 2) que entrou no patches.txt.
# Aplicado em 2026-09-24, aprovado pelo usuario: niveis A e B inteiros (475 linhas, 325 quadros).
# O verify pula este arquivo. mapa do filme inteiro antes/depois: so o quadro 2189 muda
# (erro em MB 7356 -> 7358; o quadro ja decodificava lixo antes da tarja e o decodificador
# dessincronizado le os 3 ultimos bytes, onde esta o bit corrigido).
# Gerado em 2026-09-24 por ferramentas/ancora/cauda_pb.py; censo em dados/censo_cauda_pb.txt,
# log em dados/cauda_pb.log.
#
# A tarja inferior de P/B e so skip (medido: 840/840 MBs nos 28 P/B do GOP 3319); o
# codificador (ancora_pb.c) recodifica as fileiras 62-67 com o codIRange de entrada e o
# ESTADO do contexto do skip como incognitas. Regras: distancia <= 2, todas as saidas
# distintas na distancia minima apontando os mesmos bits, cauda corrigida fechando com
# distancia 0 e sem violacao de escape. Controle: 60 caudas aleatorias ficam a 4-13.
#
# Censo dos 3.314 P/B: 2.541 com a cauda intacta (distancia 0), 330 com correcao certa,
# 440 sem correcao certa, 3 ambiguos. Fora desta proposta: 10, 11, 560, 970 e 1119, que
# tem enchimento no fim (o alinhamento pelo stop bit nao e confiavel ali). Dos 330, so o
# 10 decodifica inteiro hoje -- e e um dos excluidos.
#
# NIVEL A: distancia 0 (so o escape restaurado) ou 1.
# NIVEL B: distancia 2 -- controle aleatorio chegou a 4 uma vez em 60, margem menor.
#
# Colunas: offset bit   # quadro, distancia, hipoteses empatadas, saidas distintas

# ===== NIVEL A: 189 quadros, 196 bits =====
8691811 0   # quadro 231, dist 2, 49 empatadas, 4 saidas
8691811 1   # quadro 231, dist 2, 49 empatadas, 4 saidas
8893596 0   # quadro 241, dist 2, 69 empatadas, 2 saidas
8893596 1   # quadro 241, dist 2, 69 empatadas, 2 saidas
9195240 0   # quadro 251, dist 2, 69 empatadas, 2 saidas
9195240 1   # quadro 251, dist 2, 69 empatadas, 2 saidas
10067202 2   # quadro 279, dist 2, 61 empatadas, 2 saidas
10067204 0   # quadro 279, dist 2, 61 empatadas, 2 saidas
10609080 0   # quadro 296, dist 2, 406 empatadas, 9 saidas
10609080 1   # quadro 296, dist 2, 406 empatadas, 9 saidas
11303383 5   # quadro 314, dist 2, 60 empatadas, 7 saidas
11303384 3   # quadro 314, dist 2, 60 empatadas, 7 saidas
11303384 6   # quadro 314, dist 2, 60 empatadas, 7 saidas
11767822 2   # quadro 328, dist 2, 245 empatadas, 2 saidas
11767823 3   # quadro 328, dist 2, 245 empatadas, 2 saidas
13713444 0   # quadro 385, dist 2, 373 empatadas, 7 saidas
13713444 1   # quadro 385, dist 2, 373 empatadas, 7 saidas
15032883 2   # quadro 411, dist 2, 333 empatadas, 4 saidas
15032884 5   # quadro 411, dist 2, 333 empatadas, 4 saidas
15128904 4   # quadro 415, dist 2, 247 empatadas, 2 saidas
15128905 4   # quadro 415, dist 2, 247 empatadas, 2 saidas
15289271 0   # quadro 420, dist 2, 76 empatadas, 7 saidas
15289273 4   # quadro 420, dist 2, 76 empatadas, 7 saidas
15580438 2   # quadro 427, dist 2, 471 empatadas, 13 saidas
15580439 3   # quadro 427, dist 2, 471 empatadas, 13 saidas
15676706 0   # quadro 430, dist 2, 22 empatadas, 1 saidas
15676707 1   # quadro 430, dist 2, 22 empatadas, 1 saidas
18728165 1   # quadro 504, dist 2, 170 empatadas, 1 saidas
18728166 5   # quadro 504, dist 2, 170 empatadas, 1 saidas
19455472 1   # quadro 516, dist 2, 74 empatadas, 8 saidas
19455473 6   # quadro 516, dist 2, 74 empatadas, 8 saidas
19462183 1   # quadro 518, dist 2, 236 empatadas, 2 saidas
19462183 2   # quadro 518, dist 2, 236 empatadas, 2 saidas
20006863 1   # quadro 532, dist 2, 37 empatadas, 2 saidas
20006864 1   # quadro 532, dist 2, 37 empatadas, 2 saidas
20218428 0   # quadro 536, dist 2, 466 empatadas, 11 saidas
20218428 1   # quadro 536, dist 2, 466 empatadas, 11 saidas
22070834 0   # quadro 582, dist 2, 236 empatadas, 2 saidas
22070834 1   # quadro 582, dist 2, 236 empatadas, 2 saidas
22704939 0   # quadro 600, dist 2, 318 empatadas, 4 saidas
22704939 1   # quadro 600, dist 2, 318 empatadas, 4 saidas
23681514 0   # quadro 625, dist 2, 82 empatadas, 4 saidas
23681514 1   # quadro 625, dist 2, 82 empatadas, 4 saidas
24479060 7   # quadro 649, dist 2, 76 empatadas, 7 saidas
24479061 7   # quadro 649, dist 2, 76 empatadas, 7 saidas
25057779 0   # quadro 673, dist 2, 267 empatadas, 3 saidas
25057779 1   # quadro 673, dist 2, 267 empatadas, 3 saidas
30127332 7   # quadro 826, dist 2, 90 empatadas, 7 saidas
30127333 2   # quadro 826, dist 2, 90 empatadas, 7 saidas
30127333 4   # quadro 826, dist 2, 90 empatadas, 7 saidas
30415727 0   # quadro 840, dist 2, 69 empatadas, 3 saidas
30415727 1   # quadro 840, dist 2, 69 empatadas, 3 saidas
30428164 0   # quadro 841, dist 2, 428 empatadas, 11 saidas
30428164 1   # quadro 841, dist 2, 428 empatadas, 11 saidas
31008272 0   # quadro 866, dist 2, 397 empatadas, 8 saidas
31008272 1   # quadro 866, dist 2, 397 empatadas, 8 saidas
31754535 0   # quadro 891, dist 2, 330 empatadas, 5 saidas
31754536 4   # quadro 891, dist 2, 330 empatadas, 5 saidas
32686282 0   # quadro 924, dist 2, 170 empatadas, 1 saidas
32686283 2   # quadro 924, dist 2, 170 empatadas, 1 saidas
33214674 0   # quadro 942, dist 2, 421 empatadas, 9 saidas
33214674 1   # quadro 942, dist 2, 421 empatadas, 9 saidas
33665004 4   # quadro 957, dist 2, 60 empatadas, 7 saidas
33665004 5   # quadro 957, dist 2, 60 empatadas, 7 saidas
34249134 0   # quadro 980, dist 2, 236 empatadas, 2 saidas
34249134 1   # quadro 980, dist 2, 236 empatadas, 2 saidas
35180731 6   # quadro 1010, dist 2, 32 empatadas, 2 saidas
35180731 7   # quadro 1010, dist 2, 32 empatadas, 2 saidas
35434713 0   # quadro 1017, dist 2, 153 empatadas, 1 saidas
35434714 0   # quadro 1017, dist 2, 153 empatadas, 1 saidas
35587163 0   # quadro 1023, dist 2, 290 empatadas, 3 saidas
35587163 1   # quadro 1023, dist 2, 290 empatadas, 3 saidas
35926588 1   # quadro 1035, dist 2, 66 empatadas, 3 saidas
35926590 7   # quadro 1035, dist 2, 66 empatadas, 3 saidas
36312310 0   # quadro 1047, dist 2, 52 empatadas, 5 saidas
36312310 1   # quadro 1047, dist 2, 52 empatadas, 5 saidas
36324565 3   # quadro 1048, dist 2, 67 empatadas, 6 saidas
36324565 4   # quadro 1048, dist 2, 67 empatadas, 6 saidas
36759177 0   # quadro 1062, dist 2, 158 empatadas, 1 saidas
36759178 2   # quadro 1062, dist 2, 158 empatadas, 1 saidas
37146864 0   # quadro 1070, dist 2, 50 empatadas, 6 saidas
37146864 1   # quadro 1070, dist 2, 50 empatadas, 6 saidas
37889737 0   # quadro 1108, dist 2, 233 empatadas, 2 saidas
37889737 1   # quadro 1108, dist 2, 233 empatadas, 2 saidas
37894901 3   # quadro 1109, dist 2, 73 empatadas, 7 saidas
37894902 6   # quadro 1109, dist 2, 73 empatadas, 7 saidas
38039973 0   # quadro 1114, dist 2, 229 empatadas, 2 saidas
38039973 1   # quadro 1114, dist 2, 229 empatadas, 2 saidas
38382619 2   # quadro 1128, dist 2, 475 empatadas, 14 saidas
38382620 2   # quadro 1128, dist 2, 475 empatadas, 14 saidas
39165127 3   # quadro 1152, dist 2, 477 empatadas, 12 saidas
39165128 3   # quadro 1152, dist 2, 477 empatadas, 12 saidas
39373942 4   # quadro 1162, dist 2, 586 empatadas, 14 saidas
39373943 5   # quadro 1162, dist 2, 586 empatadas, 14 saidas
39557189 0   # quadro 1169, dist 2, 446 empatadas, 11 saidas
39557189 4   # quadro 1169, dist 2, 446 empatadas, 11 saidas
39557190 6   # quadro 1169, dist 2, 446 empatadas, 11 saidas
39862535 0   # quadro 1178, dist 2, 367 empatadas, 6 saidas
39862535 4   # quadro 1178, dist 2, 367 empatadas, 6 saidas
41334950 0   # quadro 1218, dist 2, 73 empatadas, 1 saidas
41334952 6   # quadro 1218, dist 2, 73 empatadas, 1 saidas
42166007 0   # quadro 1238, dist 2, 390 empatadas, 11 saidas
42166007 1   # quadro 1238, dist 2, 390 empatadas, 11 saidas
42912578 4   # quadro 1271, dist 2, 560 empatadas, 14 saidas
42912578 6   # quadro 1271, dist 2, 560 empatadas, 14 saidas
44084794 0   # quadro 1307, dist 2, 438 empatadas, 12 saidas
44084795 4   # quadro 1307, dist 2, 438 empatadas, 12 saidas
47188841 0   # quadro 1399, dist 2, 287 empatadas, 3 saidas
47188841 1   # quadro 1399, dist 2, 287 empatadas, 3 saidas
48220177 0   # quadro 1433, dist 2, 66 empatadas, 3 saidas
48220177 1   # quadro 1433, dist 2, 66 empatadas, 3 saidas
49099225 2   # quadro 1470, dist 2, 382 empatadas, 7 saidas
49099225 4   # quadro 1470, dist 2, 382 empatadas, 7 saidas
50623788 0   # quadro 1531, dist 2, 228 empatadas, 2 saidas
50623788 1   # quadro 1531, dist 2, 228 empatadas, 2 saidas
50718180 0   # quadro 1536, dist 2, 146 empatadas, 1 saidas
50718182 0   # quadro 1536, dist 2, 146 empatadas, 1 saidas
51017498 0   # quadro 1547, dist 2, 463 empatadas, 12 saidas
51017498 1   # quadro 1547, dist 2, 463 empatadas, 12 saidas
51809385 0   # quadro 1572, dist 2, 51 empatadas, 6 saidas
51809385 1   # quadro 1572, dist 2, 51 empatadas, 6 saidas
52937996 0   # quadro 1606, dist 2, 4 empatadas, 1 saidas
52937998 0   # quadro 1606, dist 2, 4 empatadas, 1 saidas
53321441 2   # quadro 1614, dist 2, 72 empatadas, 9 saidas
53321442 4   # quadro 1614, dist 2, 72 empatadas, 9 saidas
53427057 0   # quadro 1619, dist 2, 297 empatadas, 3 saidas
53427057 1   # quadro 1619, dist 2, 297 empatadas, 3 saidas
53913545 4   # quadro 1634, dist 2, 455 empatadas, 14 saidas
53913545 5   # quadro 1634, dist 2, 455 empatadas, 14 saidas
54234173 2   # quadro 1645, dist 2, 471 empatadas, 15 saidas
54234175 2   # quadro 1645, dist 2, 471 empatadas, 15 saidas
54234175 3   # quadro 1645, dist 2, 471 empatadas, 15 saidas
54505878 0   # quadro 1653, dist 2, 371 empatadas, 8 saidas
54505879 2   # quadro 1653, dist 2, 371 empatadas, 8 saidas
54505879 5   # quadro 1653, dist 2, 371 empatadas, 8 saidas
54843730 5   # quadro 1659, dist 2, 472 empatadas, 14 saidas
