# alvos.txt -- todo quadro que NAO esta inteiro, classificado por onde esta o dano.
# Gerado em 2026-09-18 sobre o patches.txt de hoje (output/reparado.mp4).
#
# "Inteiro" aqui exige TRES coisas: o `mapa` chega a 8160, o ffmpeg emite imagem
# para o pacote (ffprobe -show_entries frame=pkt_pos), e o cabecalho do slice
# passa na validacao sintatica do `-bsf:v trace_headers`. 2.006 quadros passam;
# estes 1.439 nao.
#
# CLASSES
#   A_cabecalho   cabecalho do slice invalido pela norma (435). E o caso do frame
#                 11: alinhamento CABAC em 0, reordenacao com codigo proibido,
#                 deblocking/cabac_init fora da faixa. O ffmpeg rejeita a maioria
#                 sem imagem nenhuma, e o `mapa` os contava como inteiros.
#   B_inicio      cabecalho valido, para antes de 512 bytes do payload (407)
#   C_meio        para entre 512 B e 2 KB (57)
#   D_tarde       para depois de 2 KB (517)
#   ?_sem_imagem  nao emite imagem e o trace_headers nao acusa nada (23)
#
# colunas: quadro tipo tamanho mb_parada(mapa) consumo(bytes,-1=sem erro de MB)
#          emite_imagem(s/n) trocas_nos_5_primeiros_bytes campo_invalido classe
785 IDR 51717 0 22 s 1 - B_inicio
790 P 48364 1800 7286 s 0 - D_tarde
791 B 10442 5800 7977 s 0 - D_tarde
792 P 14719 8160 -1 n 1 cabac_init_idc A_cabecalho
794 P 48669 3730 19996 s 0 - D_tarde
797 B 15686 410 24 s 2 - B_inicio
800 B 18032 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
802 P 42922 1396 4103 s 0 - D_tarde
810 B 15023 701 100 s 2 - B_inicio
813 B 10722 21 18 s 1 - B_inicio
819 P 31599 252 25 s 0 cabac_alignment_one_bit A_cabecalho
821 B 13675 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
823 P 32112 2942 12278 s 0 - D_tarde
827 P 31500 42 143 s 2 cabac_alignment_one_bit A_cabecalho
828 B 11034 5687 8291 s 0 - D_tarde
829 B 14226 12 72 s 0 cabac_alignment_one_bit A_cabecalho
831 P 33053 1800 5693 s 0 - D_tarde
833 B 12599 5736 9097 s 0 - D_tarde
835 P 40517 13 76 n 1 cabac_alignment_one_bit A_cabecalho
838 P 32238 8160 -1 n 0 - ?_sem_imagem
839 B 12327 8160 -1 n 0 - ?_sem_imagem
840 B 14586 5742 11831 n 0 - D_tarde
841 B 12437 8160 -1 n 1 - ?_sem_imagem
842 P 25398 91 324 n 1 - B_inicio
843 IDR 57974 1680 8582 s 0 - D_tarde
847 B 8213 1007 63 s 0 - B_inicio
848 B 11537 970 46 s 0 - B_inicio
850 P 34997 998 598 s 0 - C_meio
