# alvos.txt -- todo quadro que NAO esta inteiro, classificado por onde esta o dano.
# Gerado em 2026-09-18 sobre o patches.txt de hoje (output/reparado.mp4).
#
# "Inteiro" aqui exige TRES coisas: o `mapa` chega a 8160, o ffmpeg emite imagem
# para o pacote (ffprobe -show_entries frame=pkt_pos), e o cabecalho do slice
# passa na validacao sintatica do `-bsf:v trace_headers`. 2.006 quadros passam;
# estes 1.439 nao.
#
# CLASSES
#   A_cabecalho   cabecalho do slice invalido pela norma (435). E o caso do frame
#                 11: alinhamento CABAC em 0, reordenacao com codigo proibido,
#                 deblocking/cabac_init fora da faixa. O ffmpeg rejeita a maioria
#                 sem imagem nenhuma, e o `mapa` os contava como inteiros.
#   B_inicio      cabecalho valido, para antes de 512 bytes do payload (407)
#   C_meio        para entre 512 B e 2 KB (57)
#   D_tarde       para depois de 2 KB (517)
#   ?_sem_imagem  nao emite imagem e o trace_headers nao acusa nada (23)
#
# colunas: quadro tipo tamanho mb_parada(mapa) consumo(bytes,-1=sem erro de MB)
#          emite_imagem(s/n) trocas_nos_5_primeiros_bytes campo_invalido classe
2055 B 19329 947 26 s 0 - B_inicio
2057 P 92149 29 20 s 0 - B_inicio
2061 P 101465 2640 26880 s 0 - D_tarde
2062 B 27955 5616 22576 s 0 - D_tarde
2063 B 26764 991 100 s 0 - B_inicio
2065 IDR 190139 2520 44449 s 0 - D_tarde
2066 P 43854 4 20 s 0 - B_inicio
2069 B 8705 608 818 s 0 - C_meio
2074 B 5012 8160 -1 n 1 abs_diff_pic_num_minus1 A_cabecalho
2085 P 48642 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
2086 B 10239 408 21 s 1 - B_inicio
2089 P 63568 2880 17991 s 0 - D_tarde
2090 B 9870 1218 208 s 0 - B_inicio
2094 P 9231 8160 -1 n 3 cabac_init_idc A_cabecalho
2098 B 9285 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
2101 IDR 150971 1 47 s 1 - B_inicio
2102 P 37621 8160 -1 n 4 slice_qp_delta A_cabecalho
2103 B 8023 4761 5340 s 0 - D_tarde
2104 B 7110 934 104 s 0 - B_inicio
2106 P 54164 4560 31957 s 0 - D_tarde
2110 P 65435 8160 -1 n 2 chroma_log2_weight_denom A_cabecalho
2112 B 13076 4214 7422 s 0 - D_tarde
2113 B 13981 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
2114 P 70676 8160 -1 n 1 memory_management_control_operation A_cabecalho
2115 B 16438 3914 7577 s 0 - D_tarde
2116 B 17288 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
2118 P 84366 1720 7592 s 0 - D_tarde
2119 B 21828 6423 19527 s 0 - D_tarde
2120 B 23176 400 100 s 2 - B_inicio
2121 B 23327 3769 10523 s 0 - D_tarde
2122 P 89103 8160 -1 n 4 luma_log2_weight_denom A_cabecalho
2123 B 22328 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
2125 B 23739 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2127 B 25693 841 24 s 1 - B_inicio
2129 B 26792 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
2130 IDR 167368 0 160204 s 1 - D_tarde
2138 B 16567 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2139 P 72585 1035 33 s 1 - B_inicio
2140 B 19443 425 22 s 2 - B_inicio
2141 B 20989 5568 15894 s 0 - D_tarde
2142 B 18398 8160 -1 n 1 long_term_pic_num A_cabecalho
2143 P 67308 3976 26691 s 0 - D_tarde
2144 B 18932 4450 8039 s 0 - D_tarde
2145 P 21065 8160 -1 n 0 cabac_init_idc A_cabecalho
2147 P 75635 6 17 s 1 - B_inicio
2148 B 22746 6643 20533 s 0 - D_tarde
2149 B 22765 8160 -1 n 0 abs_diff_pic_num_minus1 A_cabecalho
2151 P 45970 8160 -1 n 2 luma_log2_weight_denom A_cabecalho
2152 B 5035 1457 693 s 1 - C_meio
2153 B 6717 8160 -1 n 1 abs_diff_pic_num_minus1 A_cabecalho
2158 P 38164 2880 9845 s 0 - D_tarde
2174 B 22939 5592 14846 s 0 - D_tarde
2176 P 52624 2 65 s 0 - B_inicio
2178 B 16336 7105 16184 s 0 - D_tarde
2179 B 14688 447 28 s 2 - B_inicio
2184 P 59380 2650 12718 s 0 - D_tarde
2185 B 18747 1605 2066 s 0 - D_tarde
2188 IDR 114388 0 53 s 3 - B_inicio
2189 P 27757 7356 27770 s 0 - D_tarde
2190 B 8469 987 148 s 0 - B_inicio
2195 B 12730 6170 10600 s 0 - D_tarde
2196 B 11209 59 24 s 2 - B_inicio
2197 P 52899 24 32 s 0 - B_inicio
2200 B 16372 48 81 s 1 - B_inicio
2205 P 61198 2299 11510 s 0 - D_tarde
2206 P 20857 8160 -1 n 1 chroma_offset_l0[i][j] A_cabecalho
2209 P 60309 5085 33267 s 0 - D_tarde
2210 B 20454 4339 7694 s 0 - D_tarde
2211 B 21387 5 68 s 2 cabac_alignment_one_bit A_cabecalho
2213 P 68950 963 138 s 1 - B_inicio
2214 B 23788 7175 23800 s 0 - D_tarde
2215 B 23983 453 20 s 0 cabac_alignment_one_bit A_cabecalho
2219 B 8619 963 84 s 0 - B_inicio
2225 B 12292 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
2226 P 52571 4680 24527 s 0 - D_tarde
2230 P 54690 2280 10202 s 0 - D_tarde
2232 B 19313 8160 -1 n 2 disable_deblocking_filter_idc A_cabecalho
2234 P 59374 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2235 B 17052 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2238 P 66503 4625 29926 s 0 - D_tarde
2243 B 23686 5140 15286 s 0 - D_tarde
2246 IDR 128622 0 63 s 3 - B_inicio
2247 P 33423 2160 4462 s 0 - D_tarde
2257 B 40280 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
2258 B 13805 3870 3357 s 0 - D_tarde
2259 B 15278 605 111 s 2 - B_inicio
2260 B 13343 6343 10918 s 0 - D_tarde
2261 P 48353 4 54 s 1 cabac_alignment_one_bit A_cabecalho
2262 B 18658 771 41 s 0 - B_inicio
2265 P 28268 614 52 s 2 - B_inicio
2273 P 40676 16 105 s 1 cabac_alignment_one_bit A_cabecalho
2274 B 13389 8160 -1 n 0 num_ref_idx_l1_active_minus1 A_cabecalho
2275 IDR 100358 0 27 s 4 - B_inicio
2276 P 29204 4 157 s 3 cabac_alignment_one_bit A_cabecalho
2277 B 9114 4923 4909 s 0 - D_tarde
2278 B 8907 836 20 s 2 - B_inicio
2280 P 34153 4800 14652 s 0 - D_tarde
2284 P 43019 8160 -1 n 1 chroma_log2_weight_denom A_cabecalho
2285 B 14092 3877 2681 s 0 - D_tarde
2286 B 14987 9 61 s 1 - B_inicio
2292 P 57338 3 136 s 1 - B_inicio
2293 B 21955 16 66 s 3 cabac_alignment_one_bit A_cabecalho
2295 B 19271 958 27 s 1 - B_inicio
2297 B 23752 4175 6642 s 0 - D_tarde
2299 B 23288 4491 6953 s 0 - D_tarde
2301 B 25266 4678 10204 s 0 - D_tarde
2302 B 23649 384 68 s 0 cabac_alignment_one_bit A_cabecalho
2304 IDR 124400 1 124348 s 0 - D_tarde
2360 B 32501 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
2361 B 30449 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
2367 P 60666 3897 26374 s 0 - D_tarde
2372 B 25850 312 26 s 1 cabac_alignment_one_bit A_cabecalho
2374 B 24857 8160 -1 n 2 disable_deblocking_filter_idc A_cabecalho
2376 B 26395 997 25 s 0 - B_inicio
2377 B 28299 10 19 s 4 - B_inicio
2379 B 95368 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
2380 B 25751 947 129 s 2 cabac_alignment_one_bit A_cabecalho
2382 P 22549 8160 -1 n 4 disable_deblocking_filter_idc A_cabecalho
2384 B 29137 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
2386 B 35624 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
2387 P 110477 5 24 n 0 - B_inicio
2388 B 38481 8160 -1 n 4 modification_of_pic_nums_idc A_cabecalho
2389 B 37509 8160 -1 n 2 long_term_pic_num A_cabecalho
2391 IDR 249694 1200 9321 s 0 - D_tarde
2394 B 7271 980 70 s 1 - B_inicio
2396 P 56489 3 18 s 1 cabac_alignment_one_bit A_cabecalho
2397 B 9668 44 66 s 5 - B_inicio
2398 B 10331 8160 -1 n 2 disable_deblocking_filter_idc A_cabecalho
2400 P 81223 994 164 s 1 - B_inicio
2401 B 16570 3984 8098 s 0 - D_tarde
2402 B 18057 390 39 s 1 - B_inicio
2403 B 15212 1022 124 s 0 - B_inicio
2404 P 85770 1499 7643 s 0 - D_tarde
2407 B 19091 18 208 s 5 cabac_alignment_one_bit A_cabecalho
2408 P 93988 1984 14896 s 0 - D_tarde
2409 B 25122 8160 -1 n 1 abs_diff_pic_num_minus1 A_cabecalho
2410 B 26646 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2411 B 25490 1640 2706 s 0 - D_tarde
2412 P 120955 1 19 s 1 cabac_alignment_one_bit A_cabecalho
2413 B 33756 1712 3799 s 0 - D_tarde
2415 P 29627 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
2416 P 133781 8 37 s 0 cabac_alignment_one_bit A_cabecalho
2417 B 49947 911 180 s 4 - B_inicio
2419 B 47067 967 187 s 1 - B_inicio
2422 B 8554 601 26 s 0 - B_inicio
2424 B 10004 6834 9465 s 0 - D_tarde
2425 P 67503 8160 -1 n 0 cabac_init_idc A_cabecalho
2426 B 12035 782 20 s 0 - B_inicio
2427 B 12431 997 314 s 1 - B_inicio
2429 P 80551 8160 -1 n 1 chroma_log2_weight_denom A_cabecalho
2430 B 18352 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2431 B 21288 111 153 s 1 - B_inicio
2432 B 19081 3633 6797 s 0 - D_tarde
2433 P 91906 21 394 s 0 - B_inicio
2435 B 20223 8160 -1 n 0 cabac_init_idc A_cabecalho
2436 B 18644 1450 1543 s 0 - C_meio
2437 P 102375 20 20 s 0 - B_inicio
2439 B 27834 1228 1281 s 0 - C_meio
2441 IDR 128101 1 421 s 1 - B_inicio
2442 P 54047 24 758 s 2 cabac_alignment_one_bit A_cabecalho
2443 B 7785 723 65 s 3 - B_inicio
2444 B 8290 798 33 s 2 cabac_alignment_one_bit A_cabecalho
2447 B 10055 4973 6432 s 0 - D_tarde
2448 B 10149 513 109 s 3 - B_inicio
2449 B 10094 8160 -1 n 4 modification_of_pic_nums_idc A_cabecalho
2451 B 13533 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
2452 B 14777 478 21 s 0 - B_inicio
2457 B 17390 6772 15758 s 0 - D_tarde
2458 B 100215 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2459 B 24172 8160 -1 n 2 disable_deblocking_filter_idc A_cabecalho
2460 B 25016 3582 8414 s 0 - D_tarde
2463 B 21239 6827 19676 s 0 - D_tarde
2465 B 22761 7152 22448 s 0 - D_tarde
2466 P 78473 8160 -1 s 2 cabac_alignment_one_bit A_cabecalho
2468 B 22816 982 37 s 2 - B_inicio
2470 IDR 178831 1 413 s 4 - B_inicio
2473 B 13866 132 188 s 1 - B_inicio
2474 B 12689 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
2476 B 20064 4141 6456 s 0 - D_tarde
2478 B 19396 5809 13498 s 0 - D_tarde
2479 P 60780 4 78 s 1 - B_inicio
2480 B 20933 6799 18880 s 0 - D_tarde
2481 B 22561 8 94 s 0 - B_inicio
2484 B 20124 8160 -1 n 4 disable_deblocking_filter_idc A_cabecalho
2485 B 23136 411 28 s 0 - B_inicio
2486 B 19626 8160 -1 n 4 modification_of_pic_nums_idc A_cabecalho
2487 P 58688 3720 22893 s 0 - D_tarde
2489 B 20670 8160 -1 n 2 cabac_init_idc A_cabecalho
2490 B 21650 5278 12975 s 0 - D_tarde
2491 P 40904 2 51 s 2 - B_inicio
2492 B 55093 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
2496 P 67556 8160 -1 n 0 chroma_log2_weight_denom A_cabecalho
2504 P 59049 1 52 s 0 - B_inicio
2505 B 10368 8160 -1 n 2 slice_qp_delta A_cabecalho
2508 P 60575 1646 6255 s 0 - D_tarde
2509 B 11639 975 28 s 1 - B_inicio
2512 P 76294 426 103 s 2 - B_inicio
2515 B 15495 675 489 s 1 cabac_alignment_one_bit A_cabecalho
2517 B 14652 9 15 s 2 - B_inicio
2519 B 14360 6324 13248 s 0 - D_tarde
2520 P 107615 6 62 s 0 - B_inicio
2522 B 20291 2387 5063 s 0 - D_tarde
2525 IDR 63244 1 47 s 1 - B_inicio
2529 B 12322 2869 1808 s 0 - C_meio
2532 B 16946 6735 15417 s 0 - D_tarde
2534 P 44158 8160 -1 n 3 disable_deblocking_filter_idc A_cabecalho
2535 B 13868 8160 -1 n 0 cabac_init_idc A_cabecalho
2538 P 51123 8160 -1 n 0 slice_alpha_c0_offset_div2 A_cabecalho
2542 P 56357 8160 -1 n 2 cabac_init_idc A_cabecalho
2544 B 17870 5222 11841 s 0 - D_tarde
2548 B 18925 83 75 s 1 - B_inicio
2551 B 14537 8160 -1 n 3 long_term_pic_num A_cabecalho
2553 B 14758 4451 7377 s 0 - D_tarde
2554 IDR 114400 1 49 s 3 - B_inicio
2556 B 10331 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
2560 B 12253 961 25 s 1 - B_inicio
2564 B 15457 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2569 P 51932 49 22 s 1 - B_inicio
2572 B 13942 1744 1655 s 0 - C_meio
2573 P 51656 12 210 s 0 - B_inicio
2574 P 15499 8160 -1 n 2 cabac_init_idc A_cabecalho
2577 P 58156 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
2580 B 18576 7158 18425 s 0 - D_tarde
2581 P 55627 24 19 s 1 - B_inicio
2582 B 16934 996 83 s 0 - B_inicio
2584 P 37373 3720 11734 s 0 - D_tarde
2588 P 40578 401 44 s 0 cabac_alignment_one_bit A_cabecalho
2589 B 11853 1636 1027 s 0 - C_meio
2592 P 46154 1048 1156 s 0 - C_meio
2598 B 17855 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
2600 P 52174 3 97 s 0 - B_inicio
2601 B 19111 961 27 s 1 - B_inicio
2602 B 20665 6974 20150 s 0 - D_tarde
2603 B 19896 983 47 s 0 - B_inicio
2609 B 19685 6244 16002 s 0 - D_tarde
2612 IDR 108624 0 30 s 0 - B_inicio
2613 P 33359 6960 31155 s 0 - D_tarde
2614 B 11697 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2621 P 49457 3000 10406 s 0 - D_tarde
2622 B 17147 4588 9936 s 0 - D_tarde
2623 P 19379 8160 -1 n 1 cabac_init_idc A_cabecalho
2627 B 18701 755 22 s 1 - B_inicio
2629 P 62789 0 20 s 1 cabac_alignment_one_bit A_cabecalho
2631 B 21485 1276 1488 s 0 - C_meio
2632 B 20361 560 21 s 0 - B_inicio
2633 P 53468 2637 7980 s 0 - D_tarde
2636 B 19803 4821 11963 s 0 - D_tarde
2637 P 53127 963 139 s 2 - B_inicio
2641 IDR 104034 2400 14479 s 0 - D_tarde
2642 P 33155 2760 8730 s 0 - D_tarde
2644 B 13634 6935 13054 s 0 - D_tarde
2645 B 12020 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
2646 P 43196 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
2647 B 13597 6 42 s 0 - B_inicio
2649 B 14631 6771 13121 s 0 - D_tarde
2652 B 19129 4878 13014 s 0 - D_tarde
2659 B 18257 3709 6973 s 0 - D_tarde
2661 B 18522 2670 2906 s 0 - D_tarde
2664 B 21007 3322 6694 s 0 - D_tarde
2665 B 19000 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
2667 B 22261 1151 1066 s 0 - C_meio
2669 B 23164 2225 4489 s 0 - D_tarde
2673 B 8295 5696 6171 s 0 - D_tarde
2674 B 9579 8160 -1 n 3 num_ref_idx_l1_active_minus1 A_cabecalho
2675 B 61235 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
2676 B 10994 982 36 s 0 - B_inicio
2679 P 69852 0 20 s 0 - B_inicio
2681 B 14291 8160 -1 s 2 cabac_alignment_one_bit A_cabecalho
2683 P 76848 2369 10604 s 0 - D_tarde
2686 B 21891 976 106 s 0 cabac_alignment_one_bit A_cabecalho
2690 B 25154 5403 15307 s 0 - D_tarde
2691 B 117288 8160 -1 n 4 disable_deblocking_filter_idc A_cabecalho
2692 B 35536 1021 33 s 0 memory_management_control_operation A_cabecalho
2693 B 35043 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
2694 B 32402 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
2695 P 106364 2520 16940 s 0 - D_tarde
2698 B 32987 4 21 s 0 - B_inicio
2700 P 47442 15 227 s 2 - B_inicio
2701 B 8885 28 109 s 4 - B_inicio
2702 B 8499 978 49 s 2 - B_inicio
2705 B 9999 4290 3607 s 0 - D_tarde
2706 B 10322 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
2711 B 19390 8160 -1 s 2 cabac_alignment_one_bit A_cabecalho
2712 P 40394 3840 14663 s 0 - D_tarde
2714 P 28878 5690 20759 s 0 - D_tarde
2715 P 41779 8160 -1 n 0 - ?_sem_imagem
2716 B 8466 966 27 s 0 - B_inicio
2717 B 7992 998 38 s 1 - B_inicio
2719 P 60043 4463 26869 s 0 - D_tarde
2721 B 9621 966 57 s 0 - B_inicio
2726 B 15660 7177 15666 s 0 - D_tarde
2727 P 87744 8 51 s 2 - B_inicio
2729 P 35625 5640 24606 s 0 - D_tarde
2733 P 53646 1079 550 s 0 - C_meio
2734 B 11845 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
2735 B 10808 43 36 s 3 - B_inicio
2738 B 15108 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
2741 P 69568 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
2745 P 87464 2756 15892 s 0 - D_tarde
2752 B 34099 34 18 s 3 - B_inicio
2753 P 109237 1560 6442 s 0 - D_tarde
2754 B 37979 8160 -1 n 1 abs_diff_pic_num_minus1 A_cabecalho
2756 B 34060 5400 19906 s 0 - D_tarde
2757 IDR 234674 2 97 s 3 - B_inicio
2758 P 45724 8160 -1 n 2 cabac_init_idc A_cabecalho
2759 B 8517 1273 354 s 0 - B_inicio
2764 B 11406 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
2766 P 76086 3325 21039 s 0 - D_tarde
2769 B 14760 5939 9907 s 0 - D_tarde
2771 ? 21311 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
2773 B 22813 2765 4474 s 0 - D_tarde
2775 B 25652 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
2778 P 115251 1807 9425 s 0 - D_tarde
2780 B 31123 293 23 s 0 - B_inicio
2781 B 30144 4135 11388 s 0 - D_tarde
2782 P 133295 3002 30336 s 0 - D_tarde
2783 B 51001 607 50 s 0 - B_inicio
2784 B 50510 975 150 s 0 cabac_alignment_one_bit A_cabecalho
2785 B 48096 8160 -1 s 4 cabac_alignment_one_bit A_cabecalho
2786 IDR 251530 1 35 s 3 - B_inicio
2788 B 10569 542 23 s 3 cabac_alignment_one_bit A_cabecalho
2790 B 9190 3355 2478 s 0 - D_tarde
2791 P 58533 8160 -1 n 0 chroma_log2_weight_denom A_cabecalho
2792 B 10339 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
2795 P 86684 1080 955 s 0 - C_meio
2796 B 19842 5539 12312 s 0 - D_tarde
2798 B 22333 6431 19357 s 0 - D_tarde
2799 P 86254 36 403 s 2 cabac_alignment_one_bit A_cabecalho
2802 P 40628 6360 35035 s 0 - D_tarde
2803 B 8417 382 39 s 0 - B_inicio
2806 P 56070 3039 13789 s 0 - D_tarde
2808 B 13069 27 177 s 0 - B_inicio
2811 B 13827 92 269 s 0 - B_inicio
2814 P 63983 1477 4418 s 0 - D_tarde
2821 B 19864 6277 17026 s 0 - D_tarde
2822 P 76513 981 250 s 0 - B_inicio
2823 B 23618 6239 18576 s 0 - D_tarde
2824 B 25385 1005 106 s 2 - B_inicio
2825 B 23755 6575 20349 s 0 - D_tarde
2827 B 21195 7154 20727 s 0 - D_tarde
2828 B 22469 966 48 s 0 cabac_alignment_one_bit A_cabecalho
2830 IDR 136413 1 47 s 1 - B_inicio
2833 B 11885 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
2834 B 11258 370 302 s 3 - B_inicio
2835 P 54582 3932 21961 s 0 - D_tarde
2841 B 13385 6 59 s 0 - B_inicio
2843 P 65246 3005 16934 s 0 - D_tarde
2844 B 15828 1355 740 s 0 - C_meio
2845 B 17307 42 37 s 2 - B_inicio
2847 P 79872 998 227 s 0 - B_inicio
2849 B 28072 8160 -1 n 2 disable_deblocking_filter_idc A_cabecalho
2850 B 27092 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
2852 B 25316 8160 -1 n 4 modification_of_pic_nums_idc A_cabecalho
2855 P 90660 1998 11391 s 0 - D_tarde
2856 B 27287 5157 18032 s 0 - D_tarde
2857 B 29910 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
2858 B 28407 3544 9865 s 0 - D_tarde
2863 B 7921 914 45 s 1 - B_inicio
2864 P 53058 3 19 s 0 - B_inicio
2865 B 9436 8160 -1 n 0 memory_management_control_operation A_cabecalho
2868 P 68966 1440 4278 s 0 - D_tarde
2873 B 17902 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
2876 P 85144 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
2877 B 23930 87 21 s 0 - B_inicio
2879 B 25187 329 433 s 1 - B_inicio
2881 B 31189 2733 9105 s 0 - D_tarde
2887 B 11412 962 44 s 0 - B_inicio
2889 P 66591 3308 20281 s 0 - D_tarde
2890 B 16828 16 35 s 1 - B_inicio
2893 P 70378 8160 -1 n 1 chroma_log2_weight_denom A_cabecalho
2897 P 87858 2224 15799 s 0 - D_tarde
2899 B 20309 2818 6446 s 0 - D_tarde
2903 B 18776 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
2905 P 92932 1355 5580 s 0 - D_tarde
2907 B 21623 630 57 s 1 - B_inicio
2909 P 94424 968 216 s 0 - B_inicio
2910 B 18136 815 35 s 2 - B_inicio
2913 IDR 229128 1 39 s 1 - B_inicio
2918 P 66959 887 53 s 0 - B_inicio
2920 B 11574 2228 2034 s 0 - C_meio
2921 B 9908 8160 -1 n 0 cabac_init_idc A_cabecalho
2925 B 12173 931 126 s 0 - B_inicio
2927 B 16037 15 17 s 0 - B_inicio
2929 B 16461 5430 11192 s 0 - D_tarde
2932 B 19553 8160 -1 n 2 disable_deblocking_filter_idc A_cabecalho
2937 B 30573 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
2939 B 24694 4994 14135 s 0 - D_tarde
2945 B 8415 8160 -1 n 2 cabac_init_idc A_cabecalho
2946 B 8811 77 297 s 4 cabac_alignment_one_bit A_cabecalho
2947 P 70997 961 60 s 0 - B_inicio
2948 B 15979 2291 4114 s 0 - D_tarde
2949 P 17620 8160 -1 n 3 cabac_init_idc A_cabecalho
2951 P 80281 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
2953 B 15179 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2957 B 17986 5324 11695 s 0 - D_tarde
2958 B 18556 839 322 s 1 - B_inicio
2961 B 20746 4346 7944 s 0 - D_tarde
2962 B 19753 25 263 s 2 - B_inicio
2964 B 28056 978 209 s 0 - B_inicio
2966 B 23583 167 20 s 0 - B_inicio
2968 B 29851 1222 1366 s 0 - C_meio
2969 B 30371 5851 21676 s 0 - D_tarde
2971 IDR 252911 3 46 s 1 - B_inicio
2972 P 51185 120 1810 s 2 cabac_alignment_one_bit A_cabecalho
2976 P 68558 2160 11493 s 0 - D_tarde
2980 P 70111 8160 -1 s 2 cabac_alignment_one_bit A_cabecalho
2983 B 10943 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
2986 B 19022 2826 4568 s 0 - D_tarde
2987 B 18080 8160 -1 n 2 cabac_init_idc A_cabecalho
2991 B 30645 8160 -1 n 1 cabac_init_idc A_cabecalho
2992 P 113653 1128 3913 s 0 - D_tarde
2993 B 29247 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
2996 P 118490 8160 -1 n 2 chroma_log2_weight_denom A_cabecalho
3001 B 18852 5123 11115 s 0 - D_tarde
3007 P 86523 3240 23737 s 0 - D_tarde
3008 B 22036 963 47 s 1 - B_inicio
3014 P 73239 8160 -1 n 1 slice_qp_delta A_cabecalho
3018 P 65749 3360 20688 s 0 - D_tarde
3021 B 19393 4823 12628 s 0 - D_tarde
3022 P 70002 25 86 s 1 - B_inicio
3025 B 16785 960 24 s 1 - B_inicio
3027 IDR 133890 2760 33652 s 0 - D_tarde
3028 P 42056 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
3040 P 56352 7 124 s 1 cabac_alignment_one_bit A_cabecalho
3044 P 54218 21 298 s 1 - B_inicio
3045 B 12568 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
3050 B 14630 6960 11538 s 0 - D_tarde
3056 P 63095 961 60 s 2 - B_inicio
3059 B 13629 851 21 s 2 - B_inicio
3060 P 85101 4902 20677 s 0 - D_tarde
3062 B 20295 6644 14951 s 0 - D_tarde
3064 P 87259 5011 24637 s 0 - D_tarde
3065 B 24408 8160 -1 n 3 disable_deblocking_filter_idc A_cabecalho
3069 B 16381 151 45 s 2 - B_inicio
3070 B 16560 6922 13569 s 0 - D_tarde
3073 B 13373 7131 12765 s 0 - D_tarde
3074 B 13419 8160 -1 n 1 cabac_init_idc A_cabecalho
3075 B 13493 8160 -1 n 2 abs_diff_pic_num_minus1 A_cabecalho
3076 IDR 198642 3480 23061 s 0 - D_tarde
3078 B 12692 8160 -1 n 1 slice_alpha_c0_offset_div2 A_cabecalho
3081 P 97322 8160 -1 n 0 chroma_weight_l0[i][j] A_cabecalho
3082 B 17880 59 26 s 2 - B_inicio
3085 P 88949 2 20 s 2 cabac_alignment_one_bit A_cabecalho
3086 B 16723 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
3089 P 81530 496 23 s 0 - B_inicio
3090 P 13631 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
3093 P 84704 8160 -1 n 1 cabac_init_idc A_cabecalho
3095 I 15530 8160 -1 n 1 - ?_sem_imagem
3097 IDR 76099 2040 15964 s 0 - D_tarde
3098 I 27469 0 20 s 2 cabac_alignment_one_bit A_cabecalho
3100 B 7881 371 48 s 0 - B_inicio
3103 P 6707 8160 -1 n 3 disable_deblocking_filter_idc A_cabecalho
3106 P 42909 3601 19381 s 0 - D_tarde
3110 P 51142 20 353 s 1 - B_inicio
3114 P 51277 2520 15592 s 0 - D_tarde
3116 B 6972 7158 6597 s 0 - D_tarde
3117 B 5463 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
3118 P 50987 21 40 s 1 cabac_alignment_one_bit A_cabecalho
3119 B 5778 187 229 s 3 - B_inicio
3122 P 43779 2588 11864 s 0 - D_tarde
3131 P 47103 2 84 s 2 - B_inicio
3132 B 5544 1025 58 s 1 cabac_alignment_one_bit A_cabecalho
3133 B 6601 570 25 s 3 - B_inicio
3134 B 5696 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
3135 P 43810 5617 29466 s 0 - D_tarde
3136 B 5775 8160 -1 n 1 long_term_pic_num A_cabecalho
3139 P 39669 4043 17526 s 0 - D_tarde
